Series ID,Year,Period,Label,Value
CUUR0000SEFD,1935,M01,1935 Jan,13.0
CUUR0000SEFD,1935,M02,1935 Feb,13.3
CUUR0000SEFD,1935,M03,1935 Mar,14.3
CUUR0000SEFD,1935,M04,1935 Apr,14.3
CUUR0000SEFD,1935,M05,1935 May,14.9
CUUR0000SEFD,1935,M06,1935 Jun,15.5
CUUR0000SEFD,1935,M07,1935 Jul,15.7
CUUR0000SEFD,1935,M08,1935 Aug,17.3
CUUR0000SEFD,1935,M09,1935 Sep,17.5
CUUR0000SEFD,1935,M10,1935 Oct,17.3
CUUR0000SEFD,1935,M11,1935 Nov,16.2
CUUR0000SEFD,1935,M12,1935 Dec,15.8
CUUR0000SEFD,1936,M01,1936 Jan,15.5
CUUR0000SEFD,1936,M02,1936 Feb,15.0
CUUR0000SEFD,1936,M03,1936 Mar,14.8
CUUR0000SEFD,1936,M04,1936 Apr,15.0
CUUR0000SEFD,1936,M05,1936 May,14.8
CUUR0000SEFD,1936,M06,1936 Jun,15.2
CUUR0000SEFD,1936,M07,1936 Jul,15.5
CUUR0000SEFD,1936,M08,1936 Aug,15.8
CUUR0000SEFD,1936,M09,1936 Sep,16.5
CUUR0000SEFD,1936,M10,1936 Oct,15.6
CUUR0000SEFD,1936,M11,1936 Nov,14.6
CUUR0000SEFD,1936,M12,1936 Dec,14.5
CUUR0000SEFD,1937,M01,1937 Jan,15.0
CUUR0000SEFD,1937,M02,1937 Feb,14.7
CUUR0000SEFD,1937,M03,1937 Mar,14.8
CUUR0000SEFD,1937,M04,1937 Apr,15.0
CUUR0000SEFD,1937,M05,1937 May,15.4
CUUR0000SEFD,1937,M06,1937 Jun,15.9
CUUR0000SEFD,1937,M07,1937 Jul,16.9
CUUR0000SEFD,1937,M08,1937 Aug,17.7
CUUR0000SEFD,1937,M09,1937 Sep,17.3
CUUR0000SEFD,1937,M10,1937 Oct,16.4
CUUR0000SEFD,1937,M11,1937 Nov,15.2
CUUR0000SEFD,1937,M12,1937 Dec,14.1
CUUR0000SEFD,1938,M01,1938 Jan,13.6
CUUR0000SEFD,1938,M02,1938 Feb,13.4
CUUR0000SEFD,1938,M03,1938 Mar,14.0
CUUR0000SEFD,1938,M04,1938 Apr,14.2
